from_name,to_name,strength,network
Avik,Santhosh,3,Work
Avik,Sujata,3,Work
Avik,Aubrey,3,Work
Avik,Swathi,3,Work
Avik,Damini,1,Work
Avik,Hemant,3,Work
Avik,Ifrah,2,Work
Avik,Sharmila,2,Work
Avik,Karan,2,Work
Avik,Priyanka,2,Work
Avik,Murali,2,Work
Avik,Sunil,3,Work
Ifrah,Santhosh,4,Work
Ifrah,Sujata,2,Work
Ifrah,Swathi,4,Work
Ifrah,Damini,4,Work
Ifrah,Hemant,1,Work
Ifrah,Avik,2,Work
Ifrah,Sharmila,4,Work
Ifrah,Karan,1,Work
Ifrah,Priyanka,2,Work
Ifrah,Sunil,1,Work
Damini,Santhosh,4,Work
Damini,Sujata,1,Work
Damini,Aubrey,1,Work
Damini,Swathi,2,Work
Damini,Hemant,1,Work
Damini,Ifrah,2,Work
Damini,Avik,1,Work
Damini,Sharmila,2,Work
Damini,Karan,2,Work
Damini,Priyanka,2,Work
Damini,Murali,1,Work
Damini,Sunil,3,Work
Hemant,Santhosh,3,Work
Hemant,Sujata,1,Work
Hemant,Aubrey,1,Work
Hemant,Swathi,2,Work
Hemant,Damini,1,Work
Hemant,Ifrah,2,Work
Hemant,Avik,3,Work
Hemant,Sharmila,2,Work
Hemant,Karan,2,Work
Hemant,Priyanka,1,Work
Hemant,Murali,1,Work
Hemant,Sunil,2,Work
Aubrey,Santhosh,2,Work
Aubrey,Sujata,3,Work
Aubrey,Swathi,3,Work
Aubrey,Damini,1,Work
Aubrey,Ifrah,1,Work
Aubrey,Avik,2,Work
Aubrey,Priyanka,1,Work
Aubrey,Murali,3,Work
Aubrey,Sunil,2,Work
Santhosh,Sujata,4,Work
Santhosh,Aubrey,3,Work
Santhosh,Swathi,3,Work
Santhosh,Damini,3,Work
Santhosh,Hemant,1,Work
Santhosh,Ifrah,3,Work
Santhosh,Avik,2,Work
Santhosh,Sharmila,1,Work
Santhosh,Karan,1,Work
Santhosh,Priyanka,1,Work
Santhosh,Murali,1,Work
Santhosh,Sunil,1,Work
Sharmila,Santhosh,3,Work
Sharmila,Sujata,4,Work
Sharmila,Swathi,4,Work
Sharmila ,Damini,2,Work
Sharmila,Hemant,1,Work
Sharmila,Ifrah,4,Work
Sharmila,Avik,3,Work
Sharmila ,Karan,1,Work
Sharmila,Priyanka,2,Work
Sharmila,Murali,1,Work
Sharmila,Sunil,1,Work
Priyanka,Santhosh,2,Work
Priyanka,Sujata,4,Work
Priyanka,Swathi,1,Work
Priyanka,Damini,2,Work
Priyanka,Ifrah,2,Work
Priyanka,Avik,1,Work
Priyanka,Sharmila,3,Work
Priyanka,Karan,1,Work
Sunil,Santhosh,3,Work
Sunil,Sujata,3,Work
Sunil,Aubrey,2,Work
Sunil,Swathi,2,Work
Sunil,Damini,3,Work
Sunil,Ifrah,2,Work
Sunil,Avik,3,Work
Sunil,Sharmila,2,Work
Sunil,Priyanka,2,Work
Sunil,Murali,4,Work
Murali,Santhosh,3,Work
Murali,Damini,3,Work
Murali,Sunil,3,Work
Karan,Santhosh,4,Work
Karan,Sujata,2,Work
Karan,Aubrey,1,Work
Karan,Swathi,2,Work
Karan,Damini,1,Work
Karan,Hemant,1,Work
Karan,Ifrah,4,Work
Karan,Avik,1,Work
Karan,Sharmila,2,Work
Karan,Priyanka,3,Work
Karan,Murali,2,Work
Karan,Sunil,2,Work
Swathi,Santhosh,4,Work
Swathi,Sujata,2,Work
Swathi,Aubrey,1,Work
Swathi,Damini,2,Work
Swathi,Ifrah,4,Work
Swathi,Avik,2,Work
Swathi,Sharmila,2,Work
Swathi,Karan,1,Work
Swathi,Priyanka,1,Work
Swathi,Murali,1,Work
Swathi,Sunil,1,Work
Sujata,Santhosh,4,Work
Sujata,Aubrey,3,Work
Sujata,Swathi,3,Work
Sujata,Damini,2,Work
Sujata,Hemant,1,Work
Sujata,Ifrah,3,Work
Sujata,Avik,2,Work
Sujata,Sharmila,3,Work
Sujata,Karan,2,Work
Sujata,Priyanka,4,Work
Sujata,Murali,1,Work
Sujata,Sunil,2,Work
Avik,Santhosh,4,Social
Avik,Sujata,4,Social
Avik,Aubrey,2,Social
Avik,Swathi,4,Social
Avik,Damini,1,Social
Avik,Hemant,1,Social
Avik,Ifrah,1,Social
